epoch,accuracy,loss,val_accuracy,val_loss
0,0.5576923,1.0267683680240924,0.5,0.6924829483032227
1,0.46153846,1.030345999277555,0.550000011920929,1.1483254432678223
2,0.5769231,0.685665107690371,0.550000011920929,0.520622968673706
3,0.64285713,0.6228291264602116,0.699999988079071,0.7267363667488098
4,0.7083333,0.5285863503813744,0.75,0.47278285026550293
5,0.625,0.55717790552548,0.8500000238418579,0.33637535572052
6,0.7692308,0.48143966839863706,0.8500000238418579,0.35939162969589233
7,0.78846157,0.46476235068761385,0.8999999761581421,0.2924517095088959
8,0.8269231,0.4289851784706116,0.8999999761581421,0.3904232978820801
9,0.84615386,0.4141892148898198,0.8500000238418579,0.34558790922164917
10,0.86538464,0.3678965110045213,0.8500000238418579,0.48090678453445435
11,0.9464286,0.2980002186128071,0.8999999761581421,0.5549403429031372
12,0.8269231,0.4110829738470224,0.8999999761581421,0.43254703283309937
13,0.9166667,0.29308566202720004,0.8999999761581421,0.3211205303668976
14,0.91071427,0.31655376085213255,0.8999999761581421,0.2814725637435913
15,0.88461536,0.3011647921342116,0.8999999761581421,0.350824773311615
16,0.9230769,0.3131842544445625,0.949999988079071,0.3346487283706665
17,0.9807692,0.250876417526832,0.8999999761581421,0.5857738852500916
18,0.9423077,0.2323291851924016,0.949999988079071,0.24384862184524536
19,0.90384614,0.34669268360504735,0.8999999761581421,0.2186969518661499
